House,Time,TV,Agg
1.0,0.0,11.463000000000001,26.205000000000002
1.0,1.0,11.702,25.771
1.0,2.0,11.016,24.963
1.0,3.0,11.054,96.582
1.0,4.0,11.123000000000001,100.034
1.0,5.0,10.916,100.12400000000001
1.0,6.0,11.118,102.00099999999998
1.0,7.0,11.209,101.887
1.0,8.0,14.446,105.01700000000001
1.0,9.0,13.626,102.43600000000002
1.0,10.0,11.136000000000001,98.846
1.0,11.0,11.486,100.353
1.0,12.0,11.127,98.83800000000001
1.0,13.0,11.235,99.02199999999999
1.0,14.0,11.135,98.45100000000001
1.0,15.0,10.916,96.297
1.0,16.0,10.884,96.615
1.0,17.0,11.483,96.39800000000001
1.0,18.0,10.986,95.49
1.0,19.0,10.808,176.79899999999998
1.0,20.0,11.115,177.798
1.0,21.0,11.579,176.973
1.0,22.0,11.007,173.22199999999998
1.0,23.0,10.647,172.66099999999997
1.0,24.0,11.196,171.818
1.0,25.0,11.061,170.99000000000004
1.0,26.0,11.082,169.97699999999998
1.0,27.0,11.088000000000001,167.73600000000002
1.0,28.0,11.286,167.95
1.0,29.0,11.434000000000001,167.10899999999998
1.0,30.0,11.137,164.689
1.0,31.0,11.063,166.675
1.0,32.0,10.818,164.338
1.0,33.0,11.33,164.232
1.0,34.0,11.359,93.05
1.0,35.0,11.137,25.944000000000003
1.0,36.0,11.355,25.041
1.0,37.0,11.358,25.529999999999998
1.0,38.0,11.225,26.438999999999997
1.0,39.0,10.931000000000001,25.153
1.0,40.0,20.394000000000002,34.427
1.0,41.0,21.723,36.1
1.0,42.0,20.571,35.302
1.0,43.0,20.977,35.818000000000005
1.0,44.0,21.888,36.59
1.0,45.0,21.883,36.094
1.0,46.0,22.365000000000002,36.866
1.0,47.0,20.408,36.118
1.0,48.0,20.573,35.032000000000004
1.0,49.0,21.067,35.168
1.0,50.0,21.804000000000002,36.150999999999996
1.0,51.0,21.389,35.095
1.0,52.0,21.900000000000002,36.889
1.0,53.0,19.547,33.802
1.0,54.0,21.616,36.738
1.0,55.0,20.674,34.629999999999995
1.0,56.0,21.655,34.913
1.0,57.0,21.229,35.837
1.0,58.0,21.895,36.354
1.0,59.0,21.867,36.091
1.0,60.0,21.013,35.394
1.0,61.0,20.184,34.972
1.0,62.0,21.71,36.396
1.0,63.0,21.727,36.727
1.0,64.0,19.957,33.757999999999996
1.0,65.0,21.717,35.579
1.0,66.0,20.115000000000002,35.050000000000004
1.0,67.0,19.615000000000002,33.824999999999996
1.0,68.0,21.129,36.251000000000005
1.0,69.0,21.655,35.662
1.0,70.0,20.222,33.78
1.0,71.0,21.89,119.87599999999999
1.0,72.0,13.678,108.806
